,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727959272723,-0.125,-0.80181885,-0.1494751,-0.5,-6.5,6.234375
1,1,1727959272763,0.119628906,-1.0127563,-0.24591064,3.546875,-8.765625,18.9375
2,2,1727959272803,0.4580078,-1.1365356,0.090026855,1.46875,-25.984375,19.078125
3,3,1727959272843,0.23364258,-0.9307251,0.4081421,-5.734375,-20.6875,1.375
4,4,1727959272883,-0.30395508,-1.1931763,-0.16802979,-18.15625,-12.828125,-6.796875
5,5,1727959272923,-0.13208008,-1.2012329,-0.004699707,8.03125,-6.21875,1.734375
6,6,1727959272963,0.31298828,-0.8545532,0.15106201,-2.953125,10.453125,-2.765625
7,7,1727959273003,0.18530273,-0.87213135,0.12005615,1.84375,-8.765625,-7.671875
8,8,1727959273043,-0.004638672,-0.88604736,0.042663574,-3.375,-11.59375,-2.59375
9,9,1727959273083,-0.053466797,-0.8792114,0.054870605,-0.671875,7.484375,-7.46875
10,10,1727959273123,0.061279297,-1.0027466,-0.031066895,1.984375,11.0625,-7.046875
11,11,1727959273163,0.07397461,-1.0288696,-0.09893799,10.703125,15.765625,-4.1875
12,12,1727959273203,0.032958984,-1.0923462,-0.1182251,10.5,13.875,3.703125
13,13,1727959273243,0.0107421875,-1.328186,-0.04864502,0.359375,5.09375,-4.265625
14,14,1727959273283,-0.0031738281,-1.065979,0.012878418,1.765625,-1.90625,-1.984375
15,15,1727959273323,-0.040771484,-0.83135986,-0.09649658,-8.578125,-1.59375,-4.34375
16,16,1727959273363,-0.11376953,-0.798645,-0.17364502,1.40625,2.15625,0.578125
17,17,1727959273403,0.016601562,-0.8640747,-0.25860596,1.453125,-0.4375,7.84375
18,18,1727959273443,0.25097656,-1.0278931,-0.06524658,-8.59375,-4.609375,17.640625
19,19,1727959273483,0.33398438,-1.1560669,0.31243896,-7.8125,-9.234375,5.640625
20,20,1727959273523,0.0036621094,-0.9534302,0.1437378,-9.140625,-21.921875,-5.421875
21,21,1727959273563,-0.20239258,-1.1399536,-0.057922363,-3.046875,-3.328125,-0.078125
22,22,1727959273603,0.12207031,-1.1272583,0.00091552734,1.234375,3.0,5.640625
23,23,1727959273643,0.23999023,-0.84820557,0.1564331,-0.84375,-4.578125,-5.59375
24,24,1727959273683,0.046142578,-0.847229,0.06488037,1.578125,-7.3125,-3.578125
25,25,1727959273723,-0.0012207031,-0.8237915,0.07537842,-5.578125,2.53125,-1.609375
26,26,1727959273763,0.053466797,-0.83917236,0.124694824,-8.859375,11.359375,-7.421875
27,27,1727959273803,0.07739258,-1.225647,-0.06842041,3.15625,-0.015625,-12.71875
28,28,1727959273843,-0.06640625,-1.3687134,-0.14361572,14.34375,9.484375,-7.234375
29,29,1727959273883,-0.16748047,-0.942688,-0.003967285,-12.953125,20.421875,-3.859375
30,30,1727959273923,-0.039794922,-0.9043579,0.006286621,5.671875,3.234375,-1.15625
31,31,1727959273963,0.064941406,-1.0952759,-0.023986816,-1.140625,3.34375,-1.203125
32,32,1727959274003,-0.06665039,-0.9307251,-0.04888916,6.046875,3.765625,-2.484375
33,33,1727959274043,-0.12133789,-0.81134033,-0.15533447,0.53125,-3.015625,4.671875
34,34,1727959274083,-0.08300781,-0.9241333,-0.1338501,-6.46875,1.0,10.640625
35,35,1727959274123,0.025146484,-1.0982056,-0.085754395,-1.046875,-1.453125,10.5625
36,36,1727959274163,0.3317871,-1.1519165,0.15985107,5.578125,-6.53125,6.890625
37,37,1727959274203,0.26586914,-0.95440674,0.18035889,-10.0625,-15.953125,2.578125
38,38,1727959274243,-0.2019043,-1.0933228,0.105407715,-19.765625,-13.578125,-2.375
39,39,1727959274283,-0.15136719,-1.2214966,0.03265381,9.5,-13.765625,3.4375
40,40,1727959274323,0.14086914,-0.84747314,0.07733154,-10.765625,9.296875,-4.1875
41,41,1727959274363,0.15551758,-0.6638794,0.1828003,8.3125,2.875,-7.90625
42,42,1727959274403,0.08642578,-0.81207275,0.08807373,-8.015625,-7.96875,2.171875
43,43,1727959274443,0.0703125,-0.94781494,0.12445068,-13.671875,-6.421875,-0.546875
44,44,1727959274483,-0.0017089844,-1.326477,0.018249512,7.15625,4.65625,-13.90625
45,45,1727959274523,-0.13623047,-1.180481,-0.1531372,20.6875,17.734375,-2.75
46,46,1727959274563,-0.056640625,-0.8081665,-0.08795166,-5.515625,16.375,7.421875
47,47,1727959274603,0.088378906,-1.0335083,0.10003662,-4.359375,7.703125,0.9375
48,48,1727959274643,0.0036621094,-1.1799927,0.047546387,-2.984375,-9.15625,-8.71875
49,49,1727959274683,-0.13989258,-0.93878174,-0.062072754,6.9375,0.171875,-2.484375
50,50,1727959274723,-0.14282227,-0.78985596,-0.14776611,-0.25,3.59375,-1.0625
51,51,1727959274763,-0.0068359375,-0.93536377,-0.121398926,0.34375,-1.390625,5.890625
52,52,1727959274803,0.14916992,-1.0730591,0.008239746,-0.078125,-12.625,14.359375
53,53,1727959274843,0.27954102,-1.0801392,0.15447998,3.765625,-22.328125,5.96875
54,54,1727959274883,0.03540039,-0.9067993,0.09710693,-5.796875,-16.734375,-6.0625
55,55,1727959274923,-0.2006836,-1.1387329,0.06951904,-1.1875,-10.46875,-3.390625
56,56,1727959274963,-0.05908203,-1.1394653,0.012145996,8.484375,-2.109375,0.6875
57,57,1727959275003,0.14672852,-0.8718872,0.08831787,-0.453125,1.390625,-2.703125
58,58,1727959275043,0.023925781,-0.8616333,0.10491943,5.78125,-1.921875,-5.015625
