,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1727097378751,0.17773438,-0.3086548,-0.913147,-0.328125,-1.0,0.046875
1,1727097378788,0.18457031,-0.30352783,-0.90997314,-0.265625,-1.140625,-0.09375
2,1727097378828,0.17895508,-0.30621338,-0.91778564,-0.171875,-1.015625,0.03125
3,1727097378863,0.17749023,-0.30621338,-0.9209595,-0.203125,-0.796875,-0.109375
4,1727097378901,0.18139648,-0.30499268,-0.91363525,-0.375,-0.6875,-0.046875
5,1727097378940,0.18237305,-0.31329346,-0.91851807,-0.25,-0.75,-0.171875
6,1727097378976,0.1796875,-0.30474854,-0.9158325,-0.359375,-0.9375,-0.078125
7,1727097379013,0.18017578,-0.30841064,-0.9163208,-0.34375,-0.953125,0.0
8,1727097379057,0.18359375,-0.30743408,-0.9104614,-0.40625,-1.03125,-0.03125
9,1727097379107,0.18041992,-0.3098755,-0.9163208,-0.4375,-1.09375,0.046875
10,1727097379145,0.1850586,-0.31158447,-0.90826416,-0.40625,-1.234375,0.140625
11,1727097379182,0.17529297,-0.30767822,-0.91973877,-0.328125,-1.09375,-0.0625
12,1727097379220,0.1850586,-0.31500244,-0.9121704,0.078125,-0.890625,0.0625
13,1727097379258,0.1784668,-0.31427002,-0.909729,-0.1875,-0.9375,0.03125
14,1727097379295,0.18139648,-0.30596924,-0.9216919,0.21875,-1.3125,0.046875
15,1727097379332,0.18041992,-0.30792236,-0.9077759,0.046875,-1.359375,0.125
16,1727097379369,0.17895508,-0.31280518,-0.9104614,0.109375,-1.34375,0.171875
17,1727097379409,0.17285156,-0.3098755,-0.9133911,-0.09375,-1.609375,0.0625
18,1727097379444,0.1796875,-0.31427002,-0.9155884,-0.46875,-1.296875,-0.015625
19,1727097379484,0.1796875,-0.31817627,-0.925354,-0.375,-1.265625,0.078125
20,1727097379538,0.18139648,-0.3110962,-0.8987427,0.390625,-1.421875,0.140625
21,1727097379577,0.18554688,-0.31329346,-0.9121704,0.640625,-1.125,0.328125
22,1727097379615,0.18432617,-0.30548096,-0.92193604,0.109375,-1.171875,0.125
23,1727097379652,0.18359375,-0.31573486,-0.92388916,-0.390625,-1.296875,0.171875
24,1727097379691,0.18115234,-0.30963135,-0.9067993,-0.375,-1.390625,0.03125
25,1727097379726,0.19042969,-0.31378174,-0.90509033,-0.1875,-1.09375,0.046875
26,1727097379766,0.18701172,-0.30914307,-0.90753174,0.171875,-1.15625,0.015625
27,1727097379801,0.18725586,-0.31085205,-0.909729,0.375,-0.9375,0.140625
28,1727097379840,0.18481445,-0.31817627,-0.92144775,0.171875,-0.921875,0.0625
29,1727097379876,0.17822266,-0.31011963,-0.92144775,0.109375,-1.296875,0.15625
30,1727097379933,0.18188477,-0.30792236,-0.90875244,0.078125,-1.0625,0.0625
31,1727097379969,0.19140625,-0.30963135,-0.91485596,-0.15625,-1.0,0.0625
32,1727097380008,0.1862793,-0.31207275,-0.90582275,0.109375,-1.140625,0.125
33,1727097380044,0.18286133,-0.31134033,-0.9163208,0.1875,-0.8125,0.0625
34,1727097380083,0.18847656,-0.31988525,-0.91485596,0.1875,-0.96875,-0.03125
35,1727097380120,0.19091797,-0.30767822,-0.91534424,0.03125,-0.96875,0.03125
36,1727097380157,0.18383789,-0.30767822,-0.9116821,0.140625,-1.03125,0.140625
37,1727097380195,0.19018555,-0.3201294,-0.90997314,-0.28125,-1.25,0.078125
38,1727097380233,0.1862793,-0.30718994,-0.91363525,-0.09375,-1.171875,0.0625
39,1727097380272,0.18579102,-0.3123169,-0.9060669,0.15625,-0.953125,0.109375
40,1727097380310,0.18798828,-0.31378174,-0.9077759,0.21875,-1.140625,0.078125
41,1727097380364,0.19213867,-0.30963135,-0.9121704,0.109375,-1.25,0.109375
42,1727097380401,0.18310547,-0.31304932,-0.92022705,0.0,-0.953125,-0.015625
43,1727097380439,0.18725586,-0.31256104,-0.90875244,0.0,-0.9375,-0.0625
44,1727097380477,0.18652344,-0.30889893,-0.9133911,-0.125,-0.890625,0.015625
45,1727097380514,0.18945312,-0.30963135,-0.9151001,-0.03125,-0.9375,0.078125
46,1727097380554,0.18310547,-0.3106079,-0.909729,-0.390625,-0.84375,0.015625
47,1727097380589,0.18554688,-0.3164673,-0.91656494,-0.71875,-0.578125,-0.140625
48,1727097380628,0.19091797,-0.31866455,-0.91290283,-0.78125,-0.921875,-0.046875
49,1727097380663,0.18603516,-0.31671143,-0.9121704,-0.671875,-0.9375,-0.046875
50,1727097380701,0.18701172,-0.31671143,-0.9138794,-0.09375,-0.828125,-0.03125
51,1727097380739,0.18725586,-0.317688,-0.9089966,-0.21875,-0.71875,-0.171875
52,1727097380798,0.18945312,-0.31402588,-0.91851807,-0.453125,-0.8125,-0.140625
53,1727097380835,0.18261719,-0.31866455,-0.90997314,-0.28125,-0.828125,-0.046875
54,1727097380870,0.18383789,-0.31988525,-0.9089966,-0.234375,-0.921875,-0.015625
55,1727097380909,0.1850586,-0.31915283,-0.9089966,-0.203125,-0.8125,-0.0625
56,1727097380946,0.18286133,-0.3237915,-0.9146118,-0.234375,-0.734375,-0.046875
57,1727097380984,0.1862793,-0.32598877,-0.913147,-0.390625,-1.171875,-0.03125
58,1727097381021,0.17944336,-0.32403564,-0.9121704,-0.015625,-1.0,0.09375
59,1727097381057,0.18286133,-0.3201294,-0.9092407,0.0,-1.046875,0.09375
60,1727097381097,0.17749023,-0.3189087,-0.9155884,-0.21875,-1.25,0.1875
61,1727097381134,0.18530273,-0.3237915,-0.9048462,-0.53125,-1.140625,0.03125
62,1727097381189,0.18432617,-0.3213501,-0.90338135,-0.359375,-0.96875,0.0625
63,1727097381227,0.19018555,-0.3225708,-0.91241455,-0.21875,-0.96875,0.125
64,1727097381266,0.19116211,-0.32403564,-0.9048462,-0.296875,-1.28125,0.140625
65,1727097381301,0.18237305,-0.3267212,-0.90948486,-0.25,-1.296875,-0.140625
66,1727097381340,0.18725586,-0.32183838,-0.9072876,0.0,-1.140625,0.0625
67,1727097381376,0.18481445,-0.32330322,-0.90509033,-0.28125,-0.953125,0.125
68,1727097381414,0.18383789,-0.3196411,-0.9109497,0.15625,-0.765625,-0.03125
69,1727097381451,0.18261719,-0.3267212,-0.90093994,-0.015625,-0.90625,0.0625
70,1727097381488,0.18432617,-0.32769775,-0.9109497,-0.375,-0.890625,-0.15625
71,1727097381527,0.18383789,-0.32696533,-0.9048462,-0.046875,-1.28125,0.171875
72,1727097381566,0.18359375,-0.32305908,-0.90289307,0.328125,-1.203125,0.25
73,1727097381620,0.1862793,-0.32330322,-0.90582275,0.9375,-1.25,0.296875
74,1727097381659,0.18457031,-0.3255005,-0.9024048,1.703125,-1.421875,0.484375
75,1727097381695,0.18945312,-0.32403564,-0.913147,1.859375,-1.25,0.453125
76,1727097381732,0.18579102,-0.31549072,-0.90093994,1.8125,-1.265625,0.40625
77,1727097381769,0.18847656,-0.31378174,-0.9109497,1.125,-1.0,0.390625
78,1727097381808,0.18701172,-0.31280518,-0.91778564,0.609375,-1.0625,0.21875
79,1727097381847,0.18701172,-0.31451416,-0.9133911,0.40625,-1.125,0.078125
80,1727097381882,0.18652344,-0.3110962,-0.91973877,0.375,-1.015625,0.1875
81,1727097381922,0.1809082,-0.31817627,-0.91412354,0.453125,-1.15625,0.1875
82,1727097381957,0.1862793,-0.31378174,-0.90875244,0.296875,-1.078125,0.21875
83,1727097382014,0.18579102,-0.31427002,-0.9031372,0.28125,-1.078125,0.125
84,1727097382051,0.18408203,-0.31011963,-0.9109497,0.171875,-0.734375,-0.03125
