,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1727963713779,0.026611328,-0.95440674,0.13031006,1.8125,-2.71875,-2.875
1,1727963713819,0.010498047,-0.98394775,0.10101318,-9.15625,-3.703125,0.703125
2,1727963713859,-0.015380859,-0.8989868,0.10418701,-0.265625,-4.8125,1.953125
3,1727963713899,0.04345703,-0.9295044,0.00091552734,-3.0625,-12.4375,2.375
4,1727963713939,-0.049804688,-0.7996216,0.116882324,3.890625,-5.609375,4.453125
5,1727963713979,-0.030273438,-0.756897,0.047302246,1.640625,-5.90625,4.390625
6,1727963714019,0.017333984,-0.8225708,0.105407715,0.75,-6.828125,0.578125
7,1727963714059,-0.09667969,-0.84991455,0.070251465,3.4375,-3.3125,2.140625
8,1727963714099,0.021972656,-0.98687744,0.07611084,-0.296875,-9.15625,-3.5
9,1727963714139,0.017089844,-1.1372681,0.20355225,3.03125,-10.03125,-0.828125
10,1727963714179,-0.114990234,-1.0222778,0.1359253,3.328125,-6.578125,3.734375
11,1727963714219,0.022216797,-1.06427,0.10028076,-7.3125,-10.84375,-5.25
12,1727963714259,-0.024169922,-1.1394653,0.09979248,7.453125,-7.265625,-4.046875
13,1727963714299,-0.095947266,-1.4390259,-0.027404785,-11.96875,-8.265625,-16.75
14,1727963714339,-0.14013672,-1.3015747,0.0018920898,5.15625,15.90625,-4.0625
15,1727963714379,-0.17919922,-0.74835205,-0.20587158,11.0625,18.59375,2.640625
16,1727963714419,0.1538086,-0.9824829,-0.1404419,5.53125,7.609375,-9.875
17,1727963714459,-0.13061523,-1.0830688,-0.05670166,10.796875,2.65625,-4.59375
18,1727963714499,-0.16894531,-1.0291138,-0.01763916,5.34375,8.59375,-1.765625
19,1727963714539,-0.18164062,-0.9414673,-0.003479004,5.34375,9.0,-0.84375
20,1727963714579,-0.22827148,-0.96588135,-0.1663208,3.046875,8.03125,-2.0
21,1727963714619,-0.04321289,-0.9404907,-0.031799316,11.4375,17.046875,-0.078125
22,1727963714659,-0.18579102,-0.7974243,0.026550293,12.375,11.203125,3.46875
23,1727963714699,-0.12109375,-0.7954712,-0.023498535,9.078125,18.171875,-0.78125
24,1727963714739,-0.09814453,-0.80670166,-0.04547119,8.640625,13.796875,2.59375
25,1727963714779,-0.12133789,-0.8442993,-0.047180176,8.734375,6.4375,1.390625
26,1727963714819,-0.11279297,-1.0686646,-0.066711426,4.671875,3.984375,-0.484375
27,1727963714859,-0.15551758,-1.2063599,0.022399902,4.3125,-0.875,2.921875
28,1727963714899,-0.2800293,-1.22052,-0.043518066,-1.140625,-0.578125,9.359375
29,1727963714939,-0.22070312,-1.2407837,-0.11846924,-9.171875,-2.0,11.40625
30,1727963714979,-0.103759766,-1.3731079,-0.23687744,-3.5,-9.984375,1.515625
31,1727963715019,0.38232422,-0.9697876,-0.14971924,1.953125,-17.65625,17.0
32,1727963715059,0.10913086,-0.8670044,-0.121154785,-1.15625,-22.703125,17.53125
33,1727963715099,-0.2602539,-1.0281372,-0.16485596,-12.4375,-6.046875,-3.96875
34,1727963715139,0.17041016,-1.0730591,-0.08013916,-11.765625,-3.53125,1.890625
35,1727963715179,-0.13378906,-0.9299927,-0.027160645,-10.5625,-7.203125,-1.234375
36,1727963715219,0.10913086,-0.92388916,0.0072631836,-9.421875,-9.75,-0.03125
37,1727963715259,0.017822266,-0.8040161,-0.03302002,-0.390625,-6.578125,3.375
38,1727963715299,0.041259766,-0.7991333,0.00579834,-0.5625,-8.328125,-0.421875
